Date,Close ,Open,Hign,Low,Volume,Percent
2019年11月8日,377.25,375.25,383.75,372.5,-,0.53%
2019年11月7日,375.25,379.25,380,373.75,219.15K,-0.92%
2019年11月6日,378.75,382.25,385,377.5,185.34K,-0.79%
2019年11月5日,381.75,383.25,384.75,380.5,157.13K,-0.39%
2019年11月4日,383.25,386.75,387.75,383,145.37K,-1.54%
2019年11月1日,389.25,389.25,391.75,386.25,151.94K,-0.19%
2019年10月31日,390,390.25,391,384.75,176.19K,-0.19%
2019年10月30日,390.75,385.75,391.25,385.25,177.03K,1.17%
2019年10月29日,386.25,383.5,387.5,382,153.73K,0.59%
2019年10月28日,384,386,386.5,383.25,122.79K,-0.71%
2019年10月25日,386.75,387,390,385.75,131.68K,0.00%
2019年10月24日,386.75,388.5,390.75,385.25,130.66K,-0.26%
2019年10月23日,387.75,387.75,389.5,384,117.56K,-0.06%
2019年10月22日,388,387,392.5,385,136.69K,0.19%
2019年10月21日,387.25,390,393.75,386.5,150.19K,-0.96%
2019年10月18日,391,394,395.75,389.75,122.01K,-0.95%
2019年10月17日,394.75,391.75,397.25,391.5,141.53K,0.77%
2019年10月16日,391.75,392,392.75,387.5,139.68K,-0.38%
2019年10月15日,393.25,397,398.5,392.5,143.68K,-1.13%
2019年10月14日,397.75,401.25,402.5,393.25,170.71K,0.00%
2019年10月11日,397.75,380.75,398.75,380.5,272.44K,4.60%
2019年10月10日,380.25,392.75,395,378.25,297.05K,-3.55%
